               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.024964,           0.0098576,          0.00059751,             0.95563,             0.94486,             0.97168,             0.70936,            0.021461,           0.0039382,          0.00042881,            0.007228,            0.007228,            0.007228
                  58,            0.025505,           0.0099726,          0.00066713,             0.93812,             0.93606,             0.96632,             0.70406,            0.021517,            0.004005,          0.00053698,           0.0071785,           0.0071785,           0.0071785
                  59,             0.02505,           0.0098547,           0.0006939,             0.94267,             0.94867,             0.96886,             0.70634,            0.021616,           0.0039814,          0.00070131,            0.007129,            0.007129,            0.007129
                  60,            0.025202,           0.0099367,          0.00064587,             0.94731,             0.95458,             0.97186,             0.71197,            0.021636,           0.0039398,          0.00043255,           0.0070795,           0.0070795,           0.0070795
                  61,             0.02478,           0.0098128,          0.00062529,             0.94998,             0.94182,             0.96876,             0.71473,            0.021473,           0.0039387,          0.00039312,             0.00703,             0.00703,             0.00703
                  62,            0.024905,           0.0096658,          0.00054825,             0.94793,             0.94455,             0.97014,              0.7111,            0.021483,           0.0039295,          0.00029786,           0.0069805,           0.0069805,           0.0069805
                  63,            0.025015,           0.0098732,          0.00071504,             0.94517,             0.94866,             0.97146,             0.71003,            0.021315,           0.0039476,          0.00037306,            0.006931,            0.006931,            0.006931
                  64,            0.024811,           0.0098438,          0.00068079,              0.9517,             0.94901,             0.97054,             0.71454,            0.021271,            0.003928,          0.00035754,           0.0068815,           0.0068815,           0.0068815
                  65,            0.024813,           0.0097318,          0.00057693,             0.94892,             0.95421,             0.97234,             0.71559,            0.021296,           0.0038781,           0.0002493,            0.006832,            0.006832,            0.006832
                  66,            0.024881,           0.0098388,           0.0006885,             0.96109,             0.93311,             0.97192,             0.71572,            0.021362,           0.0039103,          0.00027595,           0.0067825,           0.0067825,           0.0067825
                  67,            0.024668,           0.0096794,          0.00049396,             0.95811,             0.94593,             0.97271,             0.71784,             0.02114,           0.0038998,          0.00030858,            0.006733,            0.006733,            0.006733
                  68,            0.024492,           0.0095727,          0.00053683,             0.95815,             0.94314,             0.97198,             0.71985,            0.021071,           0.0038901,          0.00029912,           0.0066835,           0.0066835,           0.0066835
                  69,            0.024703,           0.0097922,          0.00055985,             0.95569,             0.94554,             0.97056,              0.7219,            0.021162,           0.0038801,          0.00029886,            0.006634,            0.006634,            0.006634
                  70,            0.024357,           0.0096631,          0.00047374,             0.95357,             0.94843,             0.97374,             0.71969,             0.02126,           0.0038515,          0.00033825,           0.0065845,           0.0065845,           0.0065845
                  71,            0.024448,           0.0095389,             0.00054,             0.95094,             0.94573,             0.97065,             0.71785,            0.021423,           0.0038771,          0.00028178,            0.006535,            0.006535,            0.006535
